,mean,std,max,mean_rating
Mauritania,695.2319110903862,104.077349439509,970.0,695.2319110903862
Mauritius,858.3639455782313,221.12162242942875,1297.0,858.3639455782313
Mayotte,824.6257142857143,122.15971583586493,1029.0,824.6257142857143
Mexico,1187.440893978574,94.30647360335864,1441.0,1187.440893978574
Moldova,828.3447653429603,94.92176455779807,1062.0,828.3447653429603
Monaco,910.7876258286276,37.69458779458107,988.0,910.7876258286276
Mongolia,719.3359705046471,231.84066259030757,943.0,719.3359705046471
Montenegro,1004.9267796610169,79.89422089564299,1200.0,1004.9267796610169
Montserrat,762.42002100105,241.69045166102535,967.0,762.42002100105
Morocco,1085.2252775914749,81.58544219489714,1327.0,1085.2252775914749
Mozambique,826.2467406110138,89.18546692448895,1092.0,826.2467406110138
Myanmar,769.5551743453298,176.94046995657297,1227.0,769.5551743453298
Namibia,762.3338500563698,84.58867030730238,955.0,762.3338500563698
Nepal,594.2838174273859,238.13428617585924,1076.0,594.2838174273859
Netherlands,1201.6911010378146,166.5077071344715,1507.0,1201.6911010378146
New Caledonia,950.9503169879674,90.34835855726878,1158.0,950.9503169879674
New Zealand,993.6514071525132,84.26822281450545,1180.0,993.6514071525132
Nicaragua,596.942010635604,141.29932641135096,956.0,596.942010635604
Niger,780.3559493277377,69.56815994836204,1000.0,780.3559493277377
Nigeria,1078.998392732355,69.9475472953477,1288.0,1078.998392732355
