,mean,std,max,mean_rating
Ath Madrid,1045.3323905419165,89.60333082446816,1269.0,1045.3323905419165
Ath Madrid B,871.8533070575194,37.48115776722363,1091.0,871.8533070575194
Athinaikos,815.3748838289963,53.671845918067675,1128.0,815.3748838289963
Athletico-PR,890.3462002412546,113.25814288087231,1174.0,890.3462002412546
Athlone,928.5282411472051,36.02700946818261,960.0,928.5282411472051
Atl. Rafaela,755.1476899772784,112.02730615156551,1107.0,755.1476899772784
Atl. San Luis,847.2024678922186,174.5547435409549,990.0,847.2024678922186
Atl. Tucuman,851.3596809282088,124.60297659378621,1177.0,851.3596809282088
Atlanta Utd,799.4004184100419,148.5364738093961,1118.0,799.4004184100419
Atlante,756.3921914357683,58.52463472094536,1090.0,756.3921914357683
Atlas,779.0611936539914,153.5007660282842,1205.0,779.0611936539914
Atletico GO,848.0213717693837,75.75895576812859,1051.0,848.0213717693837
Atletico-MG,961.7025347912524,113.34665331005979,1359.0,961.7025347912524
Atletico-PR,1002.6330076004343,101.53207559569252,1253.0,1002.6330076004343
Atromitos,1016.2153793222088,98.35276685982402,1259.0,1016.2153793222088
Atvidabergs,734.6628992628993,152.74751155102462,1187.0,734.6628992628993
Augsburg,930.9525606469002,81.76602074710338,1148.0,930.9525606469002
Austin FC,671.551690821256,104.57771759763834,975.0,671.551690821256
Austria Vienna,919.6268581506677,129.92902294040493,1366.0,919.6268581506677
Auxerre,876.049182177101,157.2945140245279,1196.0,876.049182177101
Avai,765.6111295130838,148.3064205926883,1052.0,765.6111295130838
Avellino,763.2653937947495,60.75645746217448,1017.0,763.2653937947495
Aves,765.4460073884626,87.21368062534968,943.0,765.4460073884626
Avispa Fukuoka,668.4806569343066,122.36356742963338,1037.0,668.4806569343066
Ayr,740.58085426554,158.50678075532002,1156.0,740.58085426554
BW Linz,765.6406926406927,75.02918787086557,902.0,765.6406926406927
Babelsberg,607.7193163400619,43.64396973869011,1051.0,607.7193163400619
Badajoz,796.5611528513364,73.02136608455473,1102.0,796.5611528513364
Bahia,838.1041252485089,93.4148564964283,1161.0,838.1041252485089
Balikesirspor,868.0650506290273,15.291782613223006,973.0,868.0650506290273
Baltika,845.4194915254237,55.41132345829621,984.0,845.4194915254237
Banfield,876.9237804878048,131.11415370103498,1211.0,876.9237804878048
Barcelona,1159.8024663423464,101.04527534655567,1413.0,1159.8024663423464
Barcelona B,751.1985466190417,115.3981239852766,1029.0,751.1985466190417
Bari,868.864084425374,78.93769047699055,1088.0,868.864084425374
Barnet,615.972676978661,163.98410446211193,1100.0,615.972676978661
Barnsley,716.9143050694366,154.984352430715,1118.0,716.9143050694366
Barracas Central,801.3766756032171,69.22122064893239,975.0,801.3766756032171
Barrow,623.9970320538188,155.1906502629854,1050.0,623.9970320538188
Basel,1001.5720030158332,170.79990595310272,1308.0,1001.5720030158332
Bastia,857.275997686524,111.02072038635,1150.0,857.275997686524
Bath City,611.2427720150077,53.4461271759398,974.0,611.2427720150077
Bayern Munich,1228.5627539503387,89.64224848524002,1520.0,1228.5627539503387
Beauvais,830.1844660194175,52.43717751374281,1140.0,830.1844660194175
Beerschot VA,650.0257410296412,140.58941429504426,1067.0,650.0257410296412
Beijing Guoan,1061.9675153643548,118.22724193690988,1350.0,1061.9675153643548
Beijing Renhe,764.6482294410301,183.3648217002774,1161.0,764.6482294410301
Beira Mar,817.3011001737117,70.46473771333156,1127.0,817.3011001737117
Belenenses,877.5441806601042,87.31462569872144,1105.0,877.5441806601042
Belgrano,895.1643939393939,116.95134704239378,1185.0,895.1643939393939
Benevento,784.6512261580382,121.33604872688608,1076.0,784.6512261580382
Benfica,1161.3773016792125,83.29464569956197,1352.0,1161.3773016792125
Bergen,832.864193746168,71.30453210409095,1001.0,832.864193746168
Berwick,471.1915733197556,292.2896418186402,1028.0,471.1915733197556
Besancon,924.0367612105847,1.4598412630608437,982.0,924.0367612105847
Besiktas,1125.8555221115998,83.99209460944898,1340.0,1125.8555221115998
Betis,949.2356488461093,82.67568274846275,1180.0,949.2356488461093
Beveren,767.3445358121797,69.41526500939854,1037.0,767.3445358121797
Beziers,682.9717425431711,50.66496292423183,1007.0,682.9717425431711
Bielefeld,857.6439466158246,131.24218194646815,1138.0,857.6439466158246
Birmingham,796.7472056000903,190.01419828604034,1198.0,796.7472056000903
Bistrita,648.3563334172752,48.241251378492045,943.0,648.3563334172752
Blackburn,847.8793045049114,189.03685121555728,1275.0,847.8793045049114
Blackpool,701.6941402280682,179.6040581624827,1182.0,701.6941402280682
Boavista,937.2204979733642,116.88917206764519,1277.0,937.2204979733642
Boca Juniors,1019.6329209795506,125.61943717730749,1298.0,1019.6329209795506
Bochum,909.9092960288808,117.26141155924799,1200.0,909.9092960288808
Bodo/Glimt,936.964664310954,150.63514989149374,1299.0,936.964664310954
Bohemians,963.6942410932162,98.00598463952221,1212.0,963.6942410932162
Bologna,945.7467948717949,80.19231593509896,1189.0,945.7467948717949
Bolton,792.657558992887,227.01565433778168,1229.0,792.657558992887
Bonnyrigg Rose,484.0222984562607,154.8612543310618,1003.0,484.0222984562607
Bordeaux,957.7028764805415,117.87087341541289,1270.0,957.7028764805415
Boreham Wood,652.8350936967632,92.51658814276384,1008.0,652.8350936967632
Boston,486.8324647455549,58.03575352138952,967.0,486.8324647455549
Botafogo RJ,816.4771371769384,154.180999915454,1228.0,816.4771371769384
Boulogne,663.257368124648,85.82708663298743,968.0,663.257368124648
Bourg Peronnas,619.7790618626784,71.00904921047625,985.0,619.7790618626784
Bournemouth,780.8973693124083,123.63728006637598,1117.0,780.8973693124083
Bradford,656.0272101162922,200.53542615006486,1161.0,656.0272101162922
Bragantino,839.2883865939204,151.1003099393762,1230.0,839.2883865939204
Brage,821.0944032366824,1.815881272400567,856.0,821.0944032366824
Braintree Town,682.6509831460675,92.96006173587362,967.0,682.6509831460675
Brann,908.7581555064999,126.17574190886906,1263.0,908.7581555064999
Braunschweig,762.0401655679902,105.3691030639439,1058.0,762.0401655679902
Bray,785.9814543679844,153.54542601385404,1218.0,785.9814543679844
Brechin,577.1496945010183,277.775640443579,1041.0,577.1496945010183
Brentford,770.4144744270069,137.94897359608214,1183.0,770.4144744270069
Brescia,844.3579960570567,122.14895585566259,1133.0,844.3579960570567
Brest,817.3597169656081,89.84102671986331,1078.0,817.3597169656081
Brighton,789.5070565654285,109.08443074850742,1083.0,789.5070565654285
Bristol City,741.0557750931466,148.88629858368841,1184.0,741.0557750931466
Bristol Rvs,644.5619284182003,202.6980296507206,1170.0,644.5619284182003
Bromley,670.8218057921636,92.92017780087258,1018.0,670.8218057921636
Brommapojkarna,735.3025682182986,93.71257532606141,1067.0,735.3025682182986
Brondby,997.3017349761127,114.4975001682387,1361.0,997.3017349761127
Bucaspor,818.079452659457,17.51715272308122,1003.0,818.079452659457
Burghausen,823.4736358062538,40.95087125336193,1010.0,823.4736358062538
Burgos,883.8766070636915,59.70309330938524,1096.0,883.8766070636915
Burnley,836.8429490798238,98.0454599212808,1129.0,836.8429490798238
Bursaspor,975.9037971752721,93.3966537812287,1277.0,975.9037971752721
Burton,613.7108288999485,170.91952691303138,1111.0,613.7108288999485
Bury,637.3676188325618,183.28026055931716,1165.0,637.3676188325618
Buyuksehyr,1019.1879345987596,105.01430986037742,1252.0,1019.1879345987596
C. Sangro,752.4426145793439,28.442701875817033,1061.0,752.4426145793439
CA Bastia,605.8566694283347,27.977667748780174,928.0,605.8566694283347
CF Montreal,797.0887313615253,150.22187729561566,1228.0,797.0887313615253
CFR Cluj,1099.0961732124874,122.6621039917665,1352.0,1099.0961732124874
CS Turnu Severin,1038.9594764661465,51.98879652072624,1052.0,1038.9594764661465
CSA,593.7720144752714,78.01912328237187,955.0,593.7720144752714
CSKA Moscow,1088.5478348439074,119.51355479083026,1383.0,1088.5478348439074
CZ Jena,806.3511958483755,56.71501959569876,1049.0,806.3511958483755
Cabinteely,810.73399339934,15.180677581153677,968.0,810.73399339934
Cadiz,833.2310136638068,68.82468868874241,1082.0,833.2310136638068
Caen,837.4505358150028,103.20617364272958,1126.0,837.4505358150028
Cagliari,925.4261646313885,80.92346040634379,1192.0,925.4261646313885
Calarasi,761.4259818731118,152.88797933315067,1111.0,761.4259818731118
Cambridge,666.000790335328,192.99313734120855,1127.0,666.000790335328
