,0
Barnet,1100.0
Servette,1100.0
Portuguesa,1099.0
T. Moscow,1099.0
Ein Trier,1099.0
Meppen,1099.0
Groningen,1098.0
M. Saransk,1098.0
Waalwijk,1098.0
Varese,1098.0
Almeria,1098.0
Stirling,1098.0
Catania,1096.0
Queen of Sth,1096.0
Burgos,1096.0
Oviedo,1096.0
Galway,1096.0
Gutersloh,1095.0
Darlington,1095.0
Guangzhou City,1095.0
Ulm,1095.0
Treviso,1094.0
Saarbrucken,1094.0
Foggia,1094.0
For Sittard,1093.0
AC Oulu,1092.0
Kallonis,1092.0
All Boys,1092.0
Strasbourg,1092.0
Roda,1092.0
Gillingham,1092.0
Ath Madrid B,1091.0
Albion Rvs,1091.0
Mersin Idman Yurdu,1091.0
Nautico,1090.0
Pisa,1090.0
Atlante,1090.0
Ceara,1089.0
Luton,1089.0
Bari,1088.0
Verdy,1088.0
Northampton,1087.0
Mattersburg,1087.0
New York City,1087.0
A. Sebatspor,1087.0
Yeni Malatyaspor,1086.0
Leixoes,1086.0
Queens Park,1086.0
Ascoli,1086.0
F Koln,1086.0
Exeter,1085.0
Vestsjaelland,1085.0
Fakel Voronezh,1085.0
Novara,1084.0
East Stirling,1084.0
Hangzhou Greentown,1084.0
Clydebank,1084.0
Red Star 93,1084.0
Shanghai Shenxin,1083.0
Rotherham,1083.0
Brighton,1083.0
Mansfield,1082.0
Paniliakos,1082.0
Zwickau,1082.0
Cadiz,1082.0
St. Louis City,1082.0
Homburg,1081.0
Grays,1081.0
Kortrijk,1081.0
Reims,1080.0
Crawley Town,1080.0
Cardiff,1080.0
Kidderminster,1080.0
Stuttgarter K,1079.0
Cosenza,1079.0
Hatayspor,1079.0
Scunthorpe,1079.0
Gueugnon,1079.0
Nueva Chicago,1079.0
Aldershot,1079.0
Brest,1078.0
Ethnikos Asteras,1078.0
Dumbarton,1077.0
Weymouth,1077.0
Cremonese,1077.0
Falkenbergs,1076.0
Benevento,1076.0
Yenisey,1076.0
Gimnastic,1076.0
Arka Gdynia,1076.0
Trelleborgs,1075.0
Oberhausen,1075.0
Philadelphia Union,1075.0
Lausanne,1075.0
Louvieroise,1075.0
Histon,1075.0
Desp. Chaves,1074.0
Monza,1073.0
Proodeytiki,1073.0
Karagumruk,1072.0
Hercules,1072.0
Mjondalen,1072.0
Feirense,1072.0
Vanspor,1072.0
F. Andria,1071.0
Paderborn,1071.0
Toulon,1071.0
Pescara,1071.0
Navodari,1071.0
Necaxa,1071.0
Lincoln,1070.0
Syrianska,1070.0
Stenhousemuir,1070.0
Stranraer,1070.0
Volga N. Novgorod,1070.0
Chindia Targoviste,1070.0
Xerez,1069.0
Cordoba,1069.0
Alverca,1068.0
Leczna,1068.0
Colchester,1068.0
Carpi,1068.0
Beerschot VA,1067.0
Brommapojkarna,1067.0
Degerfors,1067.0
Elazigspor,1067.0
Padova,1067.0
RW Essen,1067.0
Amiens,1066.0
Chemnitz,1066.0
Wacker Innsbruck,1066.0
Vejle,1066.0
Aarau,1065.0
Triestina,1065.0
Leganes,1064.0
Laval,1064.0
Valence,1064.0
Dresden,1063.0
Recreativo,1063.0
Leca,1063.0
Terrassa,1063.0
Xamax,1062.0
Academica,1062.0
C. Sangro,1061.0
Mervue,1061.0
Legnica,1061.0
Orlando City,1060.0
Chivas USA,1060.0
Adanaspor,1059.0
Vladikavkaz,1059.0
Santa Cruz,1058.0
Braunschweig,1058.0
Oud-Heverlee Leuven,1057.0
Salisbury,1057.0
Scarborough,1057.0
Varzim,1057.0
Dardanelspor,1057.0
Reggiana,1057.0
Ajaccio,1056.0
Louhans-Cuis.,1056.0
Arouca,1055.0
Hartlepool,1054.0
Ferrol,1054.0
Mioveni,1054.0
Puebla,1054.0
Stafford Rangers,1054.0
Elche,1054.0
Granada,1054.0
Goztep,1054.0
Sandefjord,1054.0
Tomsk,1053.0
Dalkurd,1053.0
Dag and Red,1053.0
Temperley,1053.0
CS Turnu Severin,1052.0
Avai,1052.0
Campomaiorense,1052.0
Atletico GO,1051.0
Ingolstadt,1051.0
Sandecja Nowy S.,1051.0
Babelsberg,1051.0
Erzurum,1050.0
Barrow,1050.0
Orense,1049.0
CZ Jena,1049.0
Villareal,1049.0
Panserraikos,1049.0
Neustadt,1049.0
Vannes,1049.0
America MG,1049.0
Sarmiento Junin,1049.0
Tirol,1049.0
Sabadell,1049.0
Platense,1048.0
Yiannina,1047.0
Darmstadt,1047.0
St Brieuc,1047.0
Lobos BUAP,1047.0
St. Polten,1047.0
Naval,1046.0
Felgueiras,1046.0
Patronato,1046.0
Morecambe,1045.0
Altrincham,1045.0
Evian Thonon Gaillard,1045.0
LKS Lodz,1045.0
Fuenlabrada,1044.0
Graafschap ,1044.0
Cartagena,1044.0
Oftasspor,1043.0
Karsiyaka,1043.0
Ternana,1043.0
Jaen,1043.0
Casa Pia,1042.0
Yamaga,1042.0
Cowdenbeath,1042.0
Kettering Town,1042.0
Cuiaba,1042.0
Oostende,1042.0
Halifax,1041.0
Brechin,1041.0
Reutlingen,1041.0
Real Madrid B,1041.0
Airdrie Utd,1041.0
VVV Venlo,1041.0
GAIS,1041.0
Mouscron-Peruwelz,1041.0
Regensburg,1040.0
Wehen,1040.0
Solihull,1040.0
Wattenscheid,1040.0
Penafiel,1040.0
Charleville,1040.0
Madeira,1040.0
Ciudad de Murcia,1040.0
Lucchese,1040.0
Tamworth,1040.0
Oldham,1039.0
Eleysina,1039.0
Kalithea,1039.0
Peterboro,1039.0
Creteil,1039.0
Minnesota United,1037.0
Santa Clara,1037.0
Beveren,1037.0
Erzgebirge Aue,1037.0
Avispa Fukuoka,1037.0
Chaves,1037.0
Albinoleffe,1036.0
Wasquehal,1036.0
Forfar,1036.0
FC Cincinnati,1036.0
Kyoto,1035.0
Ethnikos,1035.0
Orleans,1035.0
Akratitos,1034.0
Uniao Madeira,1034.0
Mallorca B,1034.0
Erzurumspor,1034.0
Lorca,1033.0
Crotone,1033.0
Mulhouse,1032.0
Logrones,1031.0
Moreirense,1030.0
Arles,1030.0
Sakaryaspor,1030.0
Den Haag,1030.0
KTP,1029.0
Barcelona B,1029.0
Portogruaro,1028.0
Arezzo,1028.0
Lugo,1028.0
Virtus Lanciano,1028.0
Nantong Zhiyun,1028.0
Berwick,1028.0
Andorra,1027.0
Sariyer,1027.0
Eastleigh,1026.0
Guadalajara,1026.0
Hartberg,1026.0
Ethnikos Piraeus,1026.0
Aalen,1026.0
Stal Mielec,1025.0
Roeselare,1025.0
Sekerspor,1025.0
Heracles ,1025.0
Sociedad B,1024.0
Forest Green,1024.0
V-Varen Nagasaki,1024.0
Lubeck,1024.0
Alzano,1024.0
Istres,1024.0
Holstein Kiel,1023.0
Northwich,1023.0
Groningen ,1023.0
A. Lustenau,1023.0
St. Albans,1023.0
Ajax ,1023.0
FC Emmen,1023.0
Dordrecht,1022.0
Tambov,1021.0
Trapani,1021.0
Seraing,1021.0
PK-35 Vantaa,1021.0
Murcia,1021.0
A. Klagenfurt,1020.0
Erzurum BB,1020.0
Ebbsfleet,1019.0
Catanzaro,1019.0
Nimes,1019.0
Erfurt,1019.0
Spal,1019.0
Angers,1019.0
Alcorcon,1019.0
Excelsior,1018.0
Bromley,1018.0
Qingdao Hainiu,1017.0
Heidenheim,1017.0
Grenoble,1017.0
Utrecht ,1017.0
Ravenna,1017.0
Zwolle,1017.0
Avellino,1017.0
Umraniyespor,1016.0
Pordenone,1016.0
Wuppertaler,1016.0
Chambly,1015.0
Dijon,1015.0
FC Brussels,1015.0
Reus Deportiu,1015.0
Pro Vercelli,1014.0
Fredrikstad,1014.0
Sevilla B,1014.0
Farsley,1013.0
Clermont,1013.0
Kallithea,1013.0
Vaduz,1013.0
Warta Poznan,1012.0
Qingdao FC,1012.0
Peterhead,1012.0
Olhanense,1012.0
Cittadella,1012.0
Lausanne Ouchy,1012.0
Rushden & D,1012.0
Yeovil,1011.0
Instituto,1011.0
Annan Athletic,1010.0
Feyenoord ,1010.0
Eldense,1010.0
Burghausen,1010.0
Macclesfield,1009.0
FC Edinburgh,1008.0
Antalya,1008.0
Boreham Wood,1008.0
Beziers,1007.0
San Martin T.,1007.0
Dunkerque,1006.0
Savoia,1006.0
Rodina Moscow,1006.0
Rodez,1006.0
Frosinone,1005.0
Hacettepespor,1005.0
Oita Trinita,1005.0
RWD Molenbeek,1005.0
Zeytinburnu,1004.0
Offenbach,1004.0
Dorados de Sinaloa,1004.0
Koblenz,1004.0
Machida,1003.0
Bonnyrigg Rose,1003.0
Newport County,1003.0
Kelty Hearts,1003.0
Ind. Rivadavia,1003.0
Bucaspor,1003.0
Oldenburg,1002.0
Cove Rangers,1001.0
Bergen,1001.0
Doxa,1001.0
Wurzburger Kickers,1000.0
